;Aporte;AportePred;AporteMediaMovilQ;AporteMediaMovilS;AporteMediaMovilA;AportePredMediaMovilQ;AportePredMediaMovilS;AportePredMediaMovilA;Empresa
2018-12-01;31436924929.0;69363931179;39306093468.0;;;53034047857.0;;;Emp2
2019-01-01;9865751732.0;27871183544;14245340965.0;42912645748.0;;43471909990.0;38146823073.0;;Emp2
2019-02-01;18466793932.0;49413799022;19923156864.0;29752809306.0;;48882971248.0;46382456243.0;;Emp2
2019-03-01;6445227967.0;9331983636;11592591210.0;25449342339.0;;28872322067.0;40953184962.0;;Emp2
2019-04-01;90956687422.0;21286208053;38622903107.0;26434122036.0;;26677330237.0;35074620114.0;;Emp2
2019-05-01;70504037450.0;26691859761;55968650946.0;37945903905.0;;19103350483.0;33993160866.0;;Emp2
2019-06-01;43218669864.0;47312305419;68226464912.0;39909528061.0;;31763457744.0;30317889906.0;;Emp2
2019-07-01;37091953764.0;36742694175;50271553693.0;44447228400.0;43679937074.0;36915619785.0;31796475011.0;34971649042.0;Emp2
2019-08-01;134714000000.0;65815780347;71674874543.0;63821762744.0;46787286025.0;49956926647.0;34530138565.0;40456297404.0;Emp2
2019-09-01;23911891129.0;73477205662;65239281631.0;66732873272.0;46091107805.0;58678560061.0;45221008903.0;43087096932.0;Emp2
2019-10-01;9444149425.0;62347641869;56023346851.0;53147450272.0;39790786154.0;67213542626.0;52064581206.0;43569600660.0;Emp2
2019-11-01;26618782582.0;34783035046;19991607712.0;45833241127.0;41889572516.0;56869294192.0;53413110420.0;43703135643.0;Emp2
2019-12-01;85097974063.0;71700006113;40386968690.0;52813125160.0;46361326611.0;56276894343.0;57477727202.0;43897808554.0;Emp2
2020-01-01;72062180146.0;36486911707;61259645597.0;58641496224.0;51544362312.0;47656650955.0;57435096791.0;44615785901.0;Emp2
2020-02-01;18957357744.0;43409421639;58705837318.0;39348722515.0;51585242630.0;50532113153.0;53700703673.0;44115421119.0;Emp2
2020-03-01;93466232043.0;40890824434;61495256644.0;50941112667.0;58836992969.0;40262385927.0;48269640135.0;46745324519.0;Emp2
2020-04-01;70384605431.0;68852497903;60936065073.0;61097855335.0;57122652803.0;51050914659.0;49353782807.0;50709182006.0;Emp2
2020-05-01;193229000000.0;73469966432;119026612491.0;88866224904.0;67349733016.0;61071096256.0;55801604705.0;54607357562.0;Emp2
2020-06-01;66971179071.0;74276227957;110194928167.0;85845092406.0;69329108783.0;72199564097.0;56230975012.0;56854351107.0;Emp2
